GameID,Name,Platform,Year_of_Release,Genre,Publisher,North America,European Union,Japan,Other,Developer
5099,Spider-Man: Friend or Foe,PS2,2007,Action,Activision,0.31,0.01,0,0.05,Next Level Games
5102,EA Sports MMA,PS3,2010,Fighting,Electronic Arts,0.16,0.14,0.01,0.06,EA Tiburon
5103,Guitar Hero On Tour: Modern Hits,DS,2009,Misc,Activision,0.13,0.2,0,0.04,Activision
5104,Quake 4,X360,2005,Shooter,Activision,0.32,0.02,0,0.03,Raven Software
5105,Tiger Woods PGA Tour 14,PS3,2013,Sports,Electronic Arts,0.16,0.14,0,0.07,EA Tiburon
5106,Skate,PS3,2007,Sports,Electronic Arts,0.29,0.04,0,0.03,EA Black Box
5111,Rage,PC,2011,Shooter,Bethesda Softworks,0.14,0.18,0,0.06,id Software
5113,Custom Robo,GC,2004,Role-Playing,Nintendo,0.29,0.07,0,0.01,Noise Inc.
5114,Prince of Persia: The Forgotten Sands,PSP,2010,Action,Ubisoft,0.09,0.18,0.01,0.1,Ubisoft Quebec
5115,BioShock The Collection,PS4,2016,Shooter,Take-Two Interactive,0.1,0.19,0.02,0.06,2K Games
5116,Theatrhythm Final Fantasy: Curtain Call,3DS,2014,Misc,Square Enix,0.13,0.08,0.15,0.02,Indies Zero
5117,DiRT 2,Wii,2009,Racing,Codemasters,0.1,0.22,0,0.04,Codemasters
5118,Pac-Man World 2,GC,2002,Action,Nintendo,0.28,0.07,0,0.01,Namco
5120,Tomb Raider: Legend,X360,2006,Action,Eidos Interactive,0.27,0.07,0.01,0.03,Crystal Dynamics
5121,Rocket League,PS4,2016,Sports,505 Games,0.03,0.28,0,0.05,Psyonix
5122,The BIGS,Wii,2007,Sports,Take-Two Interactive,0.34,0,0,0.03,Blue Castle Games
5126,The Legend of Spyro: A New Beginning,DS,2006,Platform,Vivendi Games,0.33,0.01,0,0.03,Amaze Entertainment
5128,Juiced 2: Hot Import Nights,PSP,2007,Racing,THQ,0.06,0.2,0,0.11,Juice Games
5130,Dungeon Siege III,X360,2011,Role-Playing,Square Enix,0.21,0.12,0.01,0.03,Obsidian Entertainment
5132,DiRT Rally,PS4,2016,Racing,Codemasters,0.04,0.27,0,0.05,Codemasters
5133,NFL Street 2 Unleashed,PSP,2005,Sports,Electronic Arts,0.34,0,0,0.03,EA Tiburon
5135,FIFA Street 2,PS2,2006,Sports,Electronic Arts,0.17,0.13,0.02,0.04,EA Canada
5136,Virtua Tennis 2009,Wii,2009,Sports,Sega,0.12,0.21,0,0.04,Sumo Digital
5137,Overlord: Dark Legend,Wii,2009,Action,Codemasters,0.11,0.22,0,0.04,Climax Group
5139,The Legend of Spyro: The Eternal Night,DS,2007,Platform,Vivendi Games,0.32,0.02,0,0.03,Amaze Entertainment
5141,Harry Potter and the Order of the Phoenix,PSP,2007,Action,Electronic Arts,0.1,0.17,0,0.1,EA Games
5142,Wanted: Weapons of Fate,X360,2009,Shooter,Warner Bros. Interactive Entertainment,0.17,0.15,0,0.04,GRIN
5143,Xenosaga Episode III: Also sprach Zarathustra,PS2,2006,Role-Playing,Namco Bandai Games,0.09,0.07,0.18,0.02,Monolith Soft
5145,Rune Factory: Frontier,Wii,2008,Role-Playing,Rising Star Games,0.16,0.13,0.04,0.03,Neverland
5148,Mini Ninjas,Wii,2009,Action,Eidos Interactive,0.16,0.16,0,0.04,Io Interactive
5149,Naruto Shippuden: Ninja Destiny 2,DS,2008,Fighting,Takara Tomy,0.19,0.02,0.13,0.02,Takara Tomy
5151,Scribblenauts: Unlimited,WiiU,2012,Action,Warner Bros. Interactive Entertainment,0.25,0.09,0,0.03,5TH Cell
5153,Marvel: Ultimate Alliance,PSP,2006,Role-Playing,Activision,0.33,0,0,0.03,Vicarious Visions
5154,The Sims 2: Castaway,PS2,2007,Simulation,Electronic Arts,0.3,0.01,0,0.05,EA Redwood Shores
